policy,pdr,plr,e2e_ms
fitness,0.690408,0.309592,13.715167
round_robin,0.403675,0.596325,147.524913
gso,0.709586,0.290414,102.145245
least_latency,0.372891,0.627109,18.052432
least_loaded,0.597607,0.402393,67.214497
fitness_healing,0.690765,0.309235,13.927489
gso_healing,0.798327,0.201673,83.318228
